date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2015-01-02,PKG,entry,3,56.3709,169.11,0.17,,,99508.54
2015-01-02,PLD,entry,6,31.0666,186.4,0.19,,,99508.54
2015-01-02,PM,entry,4,46.8744,187.5,0.19,,,99508.54
2015-01-02,PNC,entry,3,64.0967,192.29,0.19,,,99508.54
2015-01-02,PNR,entry,5,36.9721,184.86,0.18,,,99508.54
2015-01-02,PNW,entry,4,43.75,175.0,0.17,,,99508.54
2015-01-02,PODD,entry,4,46.103,184.41,0.18,,,99508.54
2015-01-02,POOL,entry,3,55.0825,165.25,0.17,,,99508.54
2015-01-02,PPG,entry,2,93.9641,187.93,0.19,,,99508.54
2015-01-02,PPL,entry,10,20.6533,206.53,0.21,,,99508.54
2015-01-02,PRU,entry,3,55.7912,167.37,0.17,,,99508.54
2015-01-02,PSA,entry,1,119.6574,119.66,0.12,,,99508.54
2015-01-02,PSKY,entry,4,44.3525,177.41,0.18,,,99508.54
2015-01-02,PSX,entry,4,47.1583,188.63,0.19,,,99508.54
2015-01-02,PTC,entry,5,36.8884,184.44,0.18,,,99508.54
2015-01-02,PWR,entry,7,28.0326,196.23,0.2,,,99508.54
2015-01-02,QCOM,entry,3,54.1826,162.55,0.16,,,99508.54
2015-01-02,RCL,entry,2,72.3144,144.63,0.14,,,99508.54
2015-01-02,REG,entry,5,42.0146,210.07,0.21,,,99508.54
2015-01-02,RF,entry,30,7.2092,216.28,0.22,,,99508.54
2015-01-02,RJF,entry,6,32.6312,195.79,0.2,,,99508.54
2015-01-02,RL,entry,1,149.3791,149.38,0.15,,,99508.54
2015-01-02,RMD,entry,4,48.9061,195.62,0.2,,,99508.54
2015-01-02,ROK,entry,2,89.5424,179.08,0.18,,,99508.54
2015-01-02,ROL,entry,25,8.4963,212.41,0.21,,,99508.54
2015-01-02,ROP,entry,1,146.1752,146.18,0.15,,,99508.54
2015-01-02,ROST,entry,5,42.5116,212.56,0.21,,,99508.54
2015-01-02,RSG,entry,6,33.0207,198.12,0.2,,,99508.54
2015-01-02,RTX,entry,3,55.4303,166.29,0.17,,,99508.54
2015-01-02,RVTY,entry,5,42.3516,211.76,0.21,,,99508.54
2015-01-02,SATS,entry,5,42.5902,212.95,0.21,,,99508.54
2015-01-02,SBAC,entry,2,101.5547,203.11,0.2,,,99508.54
2015-01-02,SBUX,entry,6,32.5506,195.3,0.2,,,99508.54
2015-01-02,SCHW,entry,8,26.4424,211.54,0.21,,,99508.54
2015-01-02,SHW,entry,2,78.5105,157.02,0.16,,,99508.54
2015-01-02,SJM,entry,3,71.5694,214.71,0.21,,,99508.54
2015-01-02,SLB,entry,3,61.9378,185.81,0.19,,,99508.54
2015-01-02,SMCI,entry,61,3.5248,215.01,0.22,,,99508.54
2015-01-02,SNA,entry,2,105.0079,210.02,0.21,,,99508.54
