date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2015-01-07,SMCI,stop_loss,1,3.3053,3.31,0.0,3.276,15617.02,98342.49
2015-01-07,TFC,stop_loss,1,23.7902,23.79,0.02,23.4318,15640.79,98342.49
2015-01-07,TPL,stop_loss,1,10.918,10.92,0.01,10.8442,15651.7,98342.49
2015-01-07,UNP,stop_loss,1,87.9013,87.9,0.09,87.2225,15739.51,98342.49
2015-01-07,VLO,stop_loss,1,30.9932,30.99,0.03,30.7572,15770.47,98342.49
2015-01-07,WBD,stop_loss,1,32.2539,32.25,0.03,31.98,15802.69,98342.49
2015-01-07,WMB,stop_loss,1,23.0684,23.07,0.02,22.8242,15825.74,98342.49
2015-01-08,NDSN,stop_loss,1,65.934,65.93,0.07,65.4447,15891.61,99853.17
2015-01-08,SATS,stop_loss,1,40.3931,40.39,0.04,40.0,15931.96,99853.17
2015-01-08,TKO,stop_loss,1,9.6228,9.62,0.01,9.5352,15941.57,99853.17
2015-01-08,TRMB,stop_loss,1,25.5572,25.56,0.03,25.34,15967.11,99853.17
2015-01-09,BSX,profit_take,1,14.5927,14.59,0.01,14.59,15981.68,99228.11
2015-01-09,STZ,profit_take,1,90.3005,90.3,0.09,90.9455,16071.89,99228.11
2015-01-09,TPL,profit_take,1,12.3258,12.33,0.01,11.9708,16084.21,99228.11
2015-01-09,PODD,stop_loss,1,40.3598,40.36,0.04,40.52,16124.53,99228.11
2015-01-12,ALGN,profit_take,1,62.8386,62.84,0.06,62.58,16187.3,98663.79
2015-01-12,NXPI,profit_take,1,71.5734,71.57,0.07,71.008,16258.8,98663.79
2015-01-12,GOOG,stop_loss,1,24.466,24.47,0.02,24.5391,16283.25,98663.79
2015-01-12,GOOGL,stop_loss,1,24.745,24.75,0.02,24.8308,16307.97,98663.79
2015-01-12,OKE,stop_loss,1,21.1841,21.18,0.02,21.5146,16329.13,98663.79
2015-01-12,SLB,stop_loss,1,57.7319,57.73,0.06,59.2864,16386.8,98663.79
2015-01-12,TRGP,stop_loss,1,52.8748,52.87,0.05,54.0067,16439.63,98663.79
2015-01-12,TSLA,stop_loss,1,13.5299,13.53,0.01,13.7773,16453.14,98663.79
2015-01-13,LULU,profit_take,1,62.6687,62.67,0.06,62.59,16515.75,98549.19
2015-01-13,VEEV,profit_take,1,29.3853,29.39,0.03,29.12,16545.1,98549.19
2015-01-13,AIG,stop_loss,1,40.1359,40.14,0.04,39.9728,16585.2,98549.19
2015-01-13,AME,stop_loss,1,46.3317,46.33,0.05,46.1045,16631.48,98549.19
2015-01-13,AMZN,stop_loss,1,14.8666,14.87,0.01,14.5705,16646.34,98549.19
2015-01-13,APTV,stop_loss,1,54.6401,54.64,0.05,54.3049,16700.92,98549.19
2015-01-13,CVX,stop_loss,1,65.4017,65.4,0.07,64.798,16766.26,98549.19
2015-01-13,DAL,stop_loss,1,40.6369,40.64,0.04,40.1172,16806.85,98549.19
2015-01-13,DG,stop_loss,1,58.401,58.4,0.06,57.8441,16865.2,98549.19
2015-01-13,EME,stop_loss,1,39.4137,39.41,0.04,38.996,16904.57,98549.19
2015-01-13,GPC,stop_loss,1,71.1361,71.14,0.07,70.4564,16975.64,98549.19
2015-01-13,IEX,stop_loss,1,63.1322,63.13,0.06,63.4313,17038.71,98549.19
2015-01-13,MPC,stop_loss,1,30.046,30.05,0.03,30.2309,17068.72,98549.19
2015-01-13,ODFL,stop_loss,1,23.5995,23.6,0.02,23.4673,17092.3,98549.19
2015-01-13,OKE,stop_loss,1,20.2594,20.26,0.02,20.2253,17112.54,98549.19
2015-01-13,OXY,stop_loss,1,53.5662,53.57,0.05,53.5644,17166.05,98549.19
2015-01-13,PSX,stop_loss,1,42.3086,42.31,0.04,42.2837,17208.32,98549.19
2015-01-13,PWR,stop_loss,1,26.3774,26.38,0.03,26.1651,17234.67,98549.19
2015-01-13,TER,stop_loss,1,17.3152,17.32,0.02,17.166,17251.96,98549.19
2015-01-13,TPL,stop_loss,1,11.146,11.15,0.01,11.2709,17263.1,98549.19
2015-01-13,URI,stop_loss,1,84.0769,84.08,0.08,82.7207,17347.09,98549.19
2015-01-13,USB,stop_loss,1,28.7967,28.8,0.03,28.6495,17375.86,98549.19
2015-01-14,DXCM,profit_take,1,14.8676,14.87,0.01,14.9975,17390.71,98180.4
2015-01-14,MSCI,profit_take,1,47.1101,47.11,0.05,47.5028,17437.78,98180.4
2015-01-14,AFL,stop_loss,1,21.8155,21.82,0.02,22.1317,17459.57,98180.4
2015-01-14,HAS,stop_loss,1,35.8372,35.84,0.04,35.9869,17495.37,98180.4
2015-01-14,INTU,stop_loss,1,77.6964,77.7,0.08,78.748,17572.99,98180.4
2015-01-14,L,stop_loss,1,37.1082,37.11,0.04,37.5721,17610.06,98180.4
2015-01-14,MPC,stop_loss,1,28.3021,28.3,0.03,28.6171,17638.33,98180.4
2015-01-14,MU,stop_loss,1,29.5072,29.51,0.03,30.0779,17667.81,98180.4
2015-01-14,PTC,stop_loss,1,33.7931,33.79,0.03,34.26,17701.57,98180.4
2015-01-14,RL,stop_loss,1,137.8518,137.85,0.14,139.3979,17839.29,98180.4
2015-01-14,ROK,stop_loss,1,82.3162,82.32,0.08,83.5407,17921.52,98180.4
2015-01-14,STLD,stop_loss,1,13.4041,13.4,0.01,13.8131,17934.91,98180.4
